MS_system,node,Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score
java-microservice,config-server,9,0.8181818181818182,1,0.09090909090909091,8,0.7272727272727273,2.39851226072837e-14,0.08181818181818182,0.09090909090909091,0.06346133554616115,0.20546077403978805,2.4252216298351985e-18
java-microservice,reminder,6,0.5454545454545454,3,0.2727272727272727,3,0.2727272727272727,2.3855443044387e-09,0.02857142857142857,0.29090909090909095,0.05011800889431252,0.08146759997823107,0.10906542627844056
java-microservice,zookeeper,8,0.7272727272727273,0,0.0,8,0.7272727272727273,3.1109108440056706e-17,0.0,0.0,0.03430383697190369,0.18404104947371014,-0.0
java-microservice,kafka,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,4.592173025895716e-07,0.00909090909090909,0.25252525252525254,0.052148563181853486,0.02458980677152712,0.05000510700846782
java-microservice,github-repository,1,0.09090909090909091,0,0.0,1,0.09090909090909091,3.1109108440056706e-17,0.0,0.0,0.03430383697190369,5.2451641262498625e-19,-0.0
java-microservice,logstash,8,0.7272727272727273,8,0.7272727272727273,0,0.0,0.9999591120379211,0.0,0.7857142857142857,0.30781812163866284,-0.0,0.14904410382991806
jhipster-microservices-example,blog,3,0.75,2,0.5,1,0.25,0.508792420940552,0.0,0.6666666666666666,0.2288308113938837,0.07265292451305849,0.2634462306963544
jhipster-microservices-example,jhipster-registry,8,2.0,4,1.0,4,1.0,0.6344553044127323,0.5833333333333333,0.8,0.3415171291111937,0.38250286520617083,0.38699080242818623
jhipster-microservices-example,store,2,0.5,1,0.25,1,0.25,0.2823597200194308,0.0,0.5,0.10257269362977,0.1480250907372164,0.15962210336350044
jhipster-microservices-example,github-repository,1,0.25,0,0.0,1,0.25,8.755132991548683e-10,0.0,0.0,0.030000000000000006,0.1480250907372164,-0.0
jhipster-microservices-example,user,4,1.0,2,0.5,2,0.5,0.508792420940552,0.16666666666666666,0.6666666666666666,0.2970793658651528,0.24879402880633786,0.18994086351195888
micro_webshop,zuul,3,0.375,2,0.25,1,0.125,0.7071084898879564,0.125,0.5714285714285714,0.41492684265070234,-1.1135110578641541e-18,-0.0
micro_webshop,eureka,7,0.875,6,0.75,1,0.125,3.6913718872932827e-06,0.21428571428571427,0.75,0.09918750000000001,-0.0,0.6204017721389312
micro_webshop,user-proxy,2,0.25,0,0.0,2,0.25,3.51224727620674e-09,0.0,0.0,0.01666666666666667,0.17819408002075632,-0.0
micro_webshop,product-service,2,0.25,1,0.125,1,0.125,9.131842918137521e-08,0.0,0.125,0.021388888888888895,0.1512434012719,0.13452315241576254
micro_webshop,category-service,2,0.25,1,0.125,1,0.125,9.131842918137521e-08,0.0,0.125,0.021388888888888895,0.1512434012719,0.13452315241576254
micro_webshop,security-service,2,0.25,1,0.125,1,0.125,9.131842918137521e-08,0.0,0.125,0.023750000000000004,0.1512434012719,0.11055192302954371
micro_webshop,product-proxy,3,0.375,0,0.0,3,0.375,3.51224727620674e-09,0.0,0.0,0.01666666666666667,0.2168323148916437,-0.0
micro_webshop,auth-server,1,0.125,0,0.0,1,0.125,3.51224727620674e-09,0.0,0.0,0.01666666666666667,0.1512434012719,-0.0
micro_webshop,user,2,0.25,1,0.125,1,0.125,0.7071050724713566,0.0,0.38095238095238093,0.3693578795715198,-0.0,-4.56763222584024e-18
microservice,order,6,1.0,2,0.3333333333333333,4,0.6666666666666666,0.39223229971436085,0.02222222222222222,0.42857142857142855,0.11054484935358364,0.38767329106604664,0.22917905496133212
microservice,eureka,5,0.8333333333333333,4,0.6666666666666666,1,0.16666666666666666,0.5883481051461716,0.5,0.6666666666666666,0.2510596654103399,6.927155319383327e-19,0.20441727577992
microservice,turbine,1,0.16666666666666666,0,0.0,1,0.16666666666666666,7.653897101502979e-08,0.0,0.0,0.021428571428571432,0.08884659848026603,-0.0
microservice,catalog,3,0.5,2,0.3333333333333333,1,0.16666666666666666,0.39223229971436085,0.02222222222222222,0.5,0.11054484935358364,0.08884659848026603,0.22917905496133215
microservice,zuul,6,1.0,2,0.3333333333333333,4,0.6666666666666666,0.3922323762533319,0.6333333333333333,0.6,0.3088231222209186,0.34578691349315527,1.5937922706261399e-18
microservice,customer,3,0.5,2,0.3333333333333333,1,0.16666666666666666,0.39223229971436085,0.02222222222222222,0.5,0.11054484935358364,0.08884659848026603,0.22917905496133215
microservice,user,2,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666,0.19611664736049203,0.0,0.4,0.08705409287941888,6.927155319383327e-19,0.10804555933608354
microservice-consul,customer,3,0.6000000000000001,2,0.4,1,0.2,0.2891396150024189,0.0,0.44999999999999996,0.1293212700594241,0.10997437384888385,0.20785438479431356
microservice-consul,order,6,1.2000000000000002,2,0.4,4,0.8,0.2891396150024189,0.0,0.26666666666666666,0.1293212700594241,0.3673313179748109,0.20785438479431356
microservice-consul,catalog,3,0.6000000000000001,2,0.4,1,0.2,0.2891396150024189,0.0,0.44999999999999996,0.1293212700594241,0.10997437384888385,0.20785438479431356
microservice-consul,apache,6,1.2000000000000002,1,0.2,5,1.0,0.000929709372998132,0.2,0.2,0.16102921693153757,0.41271993432742154,-0.0
microservice-consul,consul,4,0.8,4,0.8,0,0.0,0.8655594262612606,0.0,0.8333333333333334,0.34916633608381514,-0.0,0.2664624717681756
microservice-consul,user,2,0.4,1,0.2,1,0.2,0.000929709372998132,0.0,0.2,0.1018406368063752,-0.0,0.10997437384888381
microservice-kafka,invoicing,4,0.5714285714285714,3,0.42857142857142855,1,0.14285714285714285,0.49999625185731844,0.023809523809523808,0.6363636363636364,0.20967614801577927,0.021446194674133532,0.28525311928226
microservice-kafka,order,4,0.7142857142857142,3,0.42857142857142855,2,0.2857142857142857,2.711821727157851e-05,0.023809523809523808,0.3214285714285714,0.057493035518853854,0.11116040025894565,0.2539947771541337
microservice-kafka,shipping,4,0.5714285714285714,3,0.42857142857142855,1,0.14285714285714285,0.49999625185731844,0.023809523809523808,0.6363636363636364,0.20967614801577927,0.021446194674133532,0.28525311928226005
microservice-kafka,zookeeper,1,0.14285714285714285,0,0.0,1,0.14285714285714285,3.61866216366515e-25,0.0,0.0,0.018750000000000003,0.021446194674133532,-0.0
microservice-kafka,kafka,6,0.8571428571428571,4,0.5714285714285714,2,0.2857142857142857,0.707112081300041,0.14285714285714285,0.6363636363636364,0.4155745769164068,0.20151010405594175,0.06071749063096966
microservice-kafka,apache,4,0.7142857142857142,1,0.14285714285714285,4,0.5714285714285714,8.344066852793387e-07,0.09523809523809523,0.14285714285714285,0.04233409610983982,0.33176660202195807,-3.428357391003296e-18
microservice-kafka,postgres,3,0.42857142857142855,0,0.0,3,0.42857142857142855,3.61866216366515e-25,0.0,0.0,0.018750000000000003,0.29122430964075385,-0.0
microservice-kafka,user,2,0.2857142857142857,1,0.14285714285714285,1,0.14285714285714285,8.344066852793387e-07,0.0,0.14285714285714285,0.027745995423340962,-1.2109397021499902e-18,0.1147814936503766
microservices-basics-spring-boot,web-portal,2,0.2,1,0.1,1,0.1,4.5940255338611345e-08,0.0,0.13333333333333333,0.01797914250430814,0.09083565844014031,0.10083250778659822
microservices-basics-spring-boot,user-webservice,2,0.2,1,0.1,1,0.1,4.5940255338611345e-08,0.0,0.13333333333333333,0.01797914250430814,0.09083565844014031,0.10083250778659826
microservices-basics-spring-boot,api-gateway,4,0.4,3,0.30000000000000004,1,0.1,0.7071090452589373,0.08888888888888889,0.54,0.3964300288550945,-0.0,0.1263035063645557
microservices-basics-spring-boot,comments-webservice,3,0.30000000000000004,2,0.2,1,0.1,4.767882004752669e-07,0.0,0.22499999999999998,0.0256202780686391,0.09083565844014031,0.13809354315154582
microservices-basics-spring-boot,auth-server,2,0.2,1,0.1,1,0.1,4.5940255338611345e-08,0.0,0.13333333333333333,0.01797914250430814,0.09083565844014031,0.10083250778659826
microservices-basics-spring-boot,webservice-registry,7,0.7000000000000001,6,0.6000000000000001,1,0.1,5.130557139788221e-06,0.11111111111111112,0.6124999999999999,0.0932443278129681,0.049571559638362114,0.23144041155090725
microservices-basics-spring-boot,task-webservice,3,0.30000000000000004,1,0.1,2,0.2,4.5940255338611345e-08,0.0,0.13333333333333333,0.01797914250430814,0.14503456793241573,0.10083250778659826
microservices-basics-spring-boot,configserver,9,0.9,1,0.1,8,0.8,3.1610267434824314e-09,0.1,0.1,0.0277974728716386,0.3924796790302987,-5.181881964359794e-18
microservices-basics-spring-boot,zipkin-tracing,1,0.1,1,0.1,0,0.0,4.5940255338611345e-08,0.0,0.13333333333333333,0.01797914250430814,-0.0,0.10083250778659826
microservices-basics-spring-boot,github-repository,1,0.1,0,0.0,1,0.1,1.0536755811608108e-10,0.0,0.0,0.01502566101169654,-2.0337833701448255e-18,-0.0
microservices-basics-spring-boot,user,2,0.2,1,0.1,1,0.1,0.7071045170881273,0.0,0.3521739130434783,0.3519865188584221,0.049571559638362114,-0.0
piggymetrics,statistics-service,6,0.5,4,0.3333333333333333,2,0.16666666666666666,0.27308295890933976,0.1148989898989899,0.3968253968253968,0.07984130888257157,0.061511795985700016,0.1503017955820956
piggymetrics,account-service,5,0.41666666666666663,3,0.25,2,0.16666666666666666,0.27308289676049163,0.03914141414141414,0.34722222222222227,0.0644674160342746,0.061511795985700016,0.1400992464585236
piggymetrics,notification-service,6,0.5,3,0.25,3,0.25,0.27308289676049163,0.1148989898989899,0.34722222222222227,0.0644674160342746,0.06599131415647791,0.1400992464585236
piggymetrics,config,8,0.6666666666666666,0,0.0,8,0.6666666666666666,3.884303003094106e-09,0.0,0.0,0.018086920326601138,0.2758665284238281,-0.0
piggymetrics,turbine-stream-service,4,0.3333333333333333,2,0.16666666666666666,2,0.16666666666666666,0.19550307627004718,0.12878787878787878,0.33333333333333337,0.10303900862822765,0.07231617289295005,0.06587652420877489
piggymetrics,registry,6,0.5833333333333333,6,0.5,1,0.08333333333333333,0.5853320635949328,0.30303030303030304,0.5555555555555556,0.1546971144240561,0.02166753940275955,0.15963263933421365
piggymetrics,monitoring,2,0.16666666666666666,2,0.16666666666666666,0,0.0,0.09550539719615139,0.0,0.28809523809523807,0.06380118192690719,-0.0,0.07750156778111805
piggymetrics,auth-service,6,0.5,2,0.16666666666666666,4,0.3333333333333333,0.1834615582825173,0.003787878787878788,0.32051282051282054,0.05316888673783061,0.17996625353281068,0.10004077501884873
piggymetrics,gateway,8,0.6666666666666666,3,0.25,5,0.41666666666666663,0.37555856693521134,0.3939393939393939,0.43859649122807015,0.19505957632107732,0.17357557042843738,0.07105070098246996
piggymetrics,rabbitmq,4,0.3333333333333333,3,0.25,1,0.08333333333333333,0.4002053318051101,0.12121212121212122,0.3968253968253968,0.09768432352730605,0.020089628452260384,0.042072600113420726
piggymetrics,user,2,0.16666666666666666,1,0.08333333333333333,1,0.08333333333333333,0.1834614961336693,0.0,0.2976190476190476,0.051247150131793484,0.02166753940275955,0.03863597699090379
piggymetrics,external-website,1,0.08333333333333333,0,0.0,1,0.08333333333333333,3.884303003094106e-09,0.0,0.0,0.018086920326601138,0.045835861336316334,-0.0
piggymetrics,mail-server,1,0.08333333333333333,1,0.08333333333333333,0,0.0,0.13340162448578524,0.0,0.28809523809523807,0.03635277669847893,-0.0,0.014688927071107388
qbike,qbike-order,2,0.14285714285714285,1,0.07142857142857142,1,0.07142857142857142,8.06765539361874e-07,0.11538461538461539,0.2692307692307692,0.05596221959858325,-1.5439317556821525e-17,0.0
qbike,qbike-intention,2,0.14285714285714285,0,0.0,2,0.14285714285714285,3.5122574634822536e-10,0.0,0.0,0.011806375442739082,-2.3158976335232288e-17,0.0
