MS_system,Microservice,AVG_in_degree,AVG_out_degree,CM_in_degree,Clustering & Authority Score,Clustering & Betweenness Centrality,Clustering & Closeness Centrality,Clustering & Degree Centrality,Clustering & Eigenvector Centrality,Clustering & Hub Score,Clustering & In-degree Centrality,Clustering & Out-degree Centrality,Clustering & PageRank Centrality,ER_in_degree,ER_out_degree,LOUBAR_in_degree,LOUBAR_out_degree,CM_out_degree,Arcan_abs,Arcan_norm,ScaleFree,Int. Clustering & Degree,Int. Clustering & In-degree,Int. Clustering & Out-degree,Int. Clustering & Eigenvector Centrality,Int. Clustering & Betweenness Centrality,Int. Clustering & Closeness Centrality,Int. Clustering & PageRank Centrality,Int. Clustering & Hub Score,Int. Clustering & Authority Score
geocoder-microservices,geocoderremote-service,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,1.0,1.0,0.6666666666666667,-0.05938438560078041,-0.30952380952380953,0.09523809523809518,-0.23197907163375642,-0.2522482258700357,-0.11991457210529813
geocoder-microservices,hystrix-dashboard,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,1.0,0.0,2.761878693695458e-09,0.0,0.1428571428571428,0.0243613300930591,-0.0,0.1074889122925423
geocoder-microservices,eureka-discovery,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,1.0,1.0,0.65,0.32883844249186656,-0.15952380952380957,0.2928571428571428,-0.09311904186072878,-0.30558978955086386,-0.13010856497274528
geocoder-microservices,configurator,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,,1.0,-0.2333333333333333,1.0,-0.2333333332271072,-0.2333333333333333,-0.2333333333333333,-0.21199494201094582,0.13541730696899337,-0.2333333333333333
geocoder-microservices,auth-service,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,1.0,1.0,1.0,0.10404513322729597,-0.05238095238095242,0.2008658008658008,-0.02693541369368921,-0.043229646893411494,-0.10051968778568332
geocoder-microservices,mongodb,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,-0.5,1.0,-0.4999999998937739,-0.5,-0.5,-0.4786616086776125,-0.360034890297973,-0.5
java-microservice,oauth,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,1.0,1.0,1.0,-0.3999999979927936,-0.3981481481481482,-0.08000000000000002,-0.34289168282135124,-0.31939680353156275,-0.2760159942664384
java-microservice,admin,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,,1.0,1.0,1.0,-0.35714285713539534,-0.35529100529100527,-0.1321428571428572,-0.3071209382878407,-0.16267176610955,-0.2734769025875218
java-microservice,api-gateway,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,1.0,1.0,1.0,-0.3999999979927936,-0.3981481481481482,-0.08000000000000002,-0.34289168282135124,-0.31939680353156275,-0.2760159942664385
java-microservice,eureka-server,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,,1.0,1.0,0.6428571428571429,-0.348480464375816,-0.35529100529100527,0.37922077922077935,-0.1901414502859475,-0.320448150716029,-0.1635464547309477
